Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
00ccaec7428f292ff5ce9fe4391b2a640273b9c518877af587ecde20f7d05595,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.553319,53.410280,On or near WINFRITH ROAD,E01012543,Warrington 007E,Local resolution
a2971a12c3fe0b88c4a2b7fd4728470bb2b4f83329af33edffb88422484a01ba,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.776961,53.374085,On or near AFTON,E01012422,Halton 004E,Unable to prosecute suspect
117e7e137766deaef29c6b3493e83cb47edfe0d402973ec057380ca8d9c2ce1c,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.919218,53.282043,On or near BOSTOCK GREEN,E01018522,Cheshire West and Chester 010A,Investigation complete; no suspect identified
31a1a079b0e4264e5e4d58aaabfb3917b93a83c0bc0f2cdf75214dfbb157feab,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.451873,53.079773,On or near FOURSEASONS CLOSE,E01018506,Cheshire East 046E,Unable to prosecute suspect
5756f865493db49e3b18f0dce09cb1da4e21c979e5e31b23db144cdad638f497,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.440713,53.109605,On or near GREENWAY,E01018479,Cheshire East 035E,Unable to prosecute suspect
b72425cd2f7161374bc3d68310d532d338b7d2c7949baa4b4e81bf653926ed4b,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.465936,53.095018,On or near ALTON STREET,E01018512,Cheshire East 044C,Unable to prosecute suspect
b202fe6abd03ad98bc696819032ba95a36947ea652597d3e168909e69623a54d,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.299988,53.098015,On or near HAWTHORNE COURT,E01018388,Cheshire East 040B,Unable to prosecute suspect
914b7d55ee65b63ffc4b8ba29443640184183d2c46109d610f51c42ee239ee52,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.440557,53.092849,On or near CHAPEL STREET,E01018487,Cheshire East 043B,Unable to prosecute suspect
3150027aafdd024886d82a24c85e8948ea9305a0dc1eb0b3a8ff2fa2041c4425,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.368700,53.139729,On or near PRICE AVENUE,E01018435,Cheshire East 032D,Unable to prosecute suspect
6fc45cc3932b96d96ed959b43330eed29157f526c060a20ca5b824f334c019f3,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.432330,53.089958,On or near NANTWICH ROAD,E01018501,Cheshire East 038C,Unable to prosecute suspect
ca0ac2f33e3295f1913d8c5255c32ee209e6abffa41da5d7f89ce4ab0442bd6e,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.446166,53.089449,On or near OWEN STREET,E01018489,Cheshire East 043D,Unable to prosecute suspect
f244ce8d014e05600f6fa5d3b29085b04b6e0c08f5d73a36c29ae1d4f586c2dd,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.446166,53.089449,On or near OWEN STREET,E01018489,Cheshire East 043D,Unable to prosecute suspect
e4eeead5613c1c6222608ebe7498565cf9bf74d594dc477de8121674a99e9a0f,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.571509,53.352100,On or near Supermarket,E01012449,Warrington 025C,Investigation complete; no suspect identified
d0df29fa2ad02939dfcef280fe9c9bedf6797fb3a62f1bb18da8ab4df4e115b7,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.368508,53.143550,On or near SUNNYMILL DRIVE,E01018442,Cheshire East 031C,Investigation complete; no suspect identified
47903eb185339ab41e47306712585aa9b48429b5785c2384d4a1a6bbcc3a6a34,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.518521,53.075510,On or near BARONY COURT,E01018455,Cheshire East 047C,Investigation complete; no suspect identified
12c95eb1546828d0b63b52ee0f3141c15effb76c59055d7ca13e22b99321c2ce,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.582792,53.391767,On or near Supermarket,E01012480,Warrington 017B,Investigation complete; no suspect identified
f30814bad18b5d43700fad22f6e08278918ff605a4bb67ea8f5f81a59df9dde6,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.406198,53.293901,On or near Park/Open Space,E01018648,Cheshire East 007C,Unable to prosecute suspect
5149abfc50e0c4b92b3d8f179a2fccf4376cb45408d2f9de34e151d6308a03de,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.214697,53.163541,On or near SWAN BANK,E01018402,Cheshire East 027C,Investigation complete; no suspect identified
63d9cb7a51596e37c2a0daccd3fac3158dc23551566d02550edafdcf8e9ff0e3,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.455263,53.386110,On or near WOODBINE ROAD,E01012518,Warrington 021F,Investigation complete; no suspect identified
22d3c7ba06782726bc26acbc3b978abefbe52c687419c4bc7b58a12253133a77,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.606427,53.361896,On or near OLD CHESTER ROAD,E01012502,Warrington 024C,Investigation complete; no suspect identified
be1fb96c89f67b11042e13030450d5bf2afcad33c791b82ef13595f6636d6c5b,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.872736,53.195872,On or near SIGNAL COURT,E01018343,Cheshire West and Chester 033C,Investigation complete; no suspect identified
b5e1ea947e8f72c223f2186e75e8fe8c2e4eea6eda6b4d5821717b71c32bf1f8,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.506094,53.260422,On or near CHURCH WALK,E01018714,Cheshire West and Chester 018B,Investigation complete; no suspect identified
4813a3265d30d0dfac86331f9c42910dbda3ea99dd8c930a9a74605f67bc7787,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.519671,53.073105,On or near DAVENPORT AVENUE,E01018454,Cheshire East 047B,Investigation complete; no suspect identified
a35ea25356517fdf255de9f9ac2fb6cd489ab6c95ae81c3deeb021cfba765d8d,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.443403,53.112597,On or near MERCHANTS COURT,E01018479,Cheshire East 035E,Investigation complete; no suspect identified
8779876cb4ef6ac1b7df037429aa362b808db5dcb0c03a9bdcafed344b004e57,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.701708,53.323351,On or near HOBBY COURT,E01012408,Halton 013F,Investigation complete; no suspect identified
0357d06a5156bf2c400ee5ad8e081bd5cc1da818032d6a1933deb76b271115e2,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.254227,53.332578,On or near Petrol Station,E01018653,Cheshire East 008D,Investigation complete; no suspect identified
f796bbf65dcc879c21dc77edb3cd76f99d35073db7c8cbdf8dec3fb6b6f4e707,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.698774,53.326640,On or near SOUTHWAY,E01012408,Halton 013F,Investigation complete; no suspect identified
b034a61833974c608c0014dda1dc29f52a6f06bd977f7a399c2222ad6c158e3d,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.494366,53.262503,On or near Supermarket,E01018715,Cheshire West and Chester 018C,Investigation complete; no suspect identified
e8ce25a12b8a8f9a31a9c4ed3d45dbb3521da87f28ad44797f0337dec2e659d8,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.541889,53.191365,On or near DELAMERE RISE,E01018736,Cheshire West and Chester 037A,Investigation complete; no suspect identified
6f60a854645189a7dc5709f8a7f7b3b9d4134ef9cc2b2f7874ee8c7c695eed81,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.915395,53.282854,On or near PRINCES ROAD,E01018524,Cheshire West and Chester 008B,Investigation complete; no suspect identified
2c8fc9a457aa35ae59cb52d78e6fe25c3edae3fa3619ab078f06c0c80f473f1f,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.123206,53.257577,On or near PICKFORD STREET,E01018624,Cheshire East 018C,Investigation complete; no suspect identified
bc1b344772c8974e00ee53fafcbff8b8d069a5d400c17d15fbe603f6a2af401a,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.519944,53.420704,On or near KINGFISHER CLOSE,E01012466,Warrington 005D,Investigation complete; no suspect identified
1fcc0d6a178ad42d0360214d667e7e5c36533b460eddbfc010a6797695885d9d,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.596920,53.389126,On or near REGENT STREET,E01033300,Warrington 018F,Investigation complete; no suspect identified
28bb2e43ea9428f775b121779617517e1036db53bf1d9df6abd1663522d71f1f,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.479668,53.383732,On or near DANE BANK ROAD,E01012516,Warrington 021D,Investigation complete; no suspect identified
054ed3d629774a793f7a7466d3e55b69e24792e38029d4bd41addc2d22a10a18,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.901413,53.278430,On or near RIVINGTON ROAD,E01018520,Cheshire West and Chester 007B,Investigation complete; no suspect identified
422f533c657b0fbda0ba3189b7293413a6367f5f774be988a980a7a8f5ac8b69,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.600948,53.282184,On or near MARTINSFIELDS,E01018675,Cheshire West and Chester 003A,Investigation complete; no suspect identified
92edf8bc9d271897f48fb25934e4cb1f8c671dafbd234c1283e05b6ed1d9d9de,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.870975,53.202780,On or near LEAHURST CLOSE,E01018346,Cheshire West and Chester 032B,Investigation complete; no suspect identified
3db775fe35e8509ee104f2187a76de5d2713aec088dfc1259ecfee6810993c8c,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.127808,53.257815,On or near ROE STREET,E01018624,Cheshire East 018C,Investigation complete; no suspect identified
f828ba450392e31af14d2dca5058ef8dfa86b06f68b680d821cad447b8ba5b39,2020-07,Cheshire Constabulary,Cheshire Constabulary,-2.815666,53.274167,On or near DAIRY BANK,E01018338,Cheshire West and Chester 022D,Investigation complete; no suspect identified
