Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3209222b4ad2589d563048dd840339262c2d450c0d72d13e9d8e6e24803e0f73,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.309419,53.094863,On or near Parking Area,E01018386,Cheshire East 042A,Investigation complete; no suspect identified
56462fe6f4cf8b17bc771a186df695d9ad0d01427cae5a948adb6ab92d50f898,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.537996,53.192380,On or near PULFORD ROAD,E01018746,Cheshire West and Chester 038C,Unable to prosecute suspect
6e32eca460d6c034ea9e4ac1f5ac4d905ffc5d5d288faa815b223d33de700faf,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.881172,53.264136,On or near CHESHIRE OAKS WAY,E01018551,Cheshire West and Chester 011C,Unable to prosecute suspect
b22d31356e6274b53ac3336cfdcc7d358f6e712a3cb730aa1239232baf755737,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.942328,53.268280,On or near WHEATFIELD CLOSE,E01018560,Cheshire West and Chester 009E,Unable to prosecute suspect
0f6ba8e98efaf69d1dc113d9e5ddc613ed51d02b58542af8c26c22f8a51c8bf7,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.511971,53.261665,On or near TIMBER LANE,E01018714,Cheshire West and Chester 018B,Investigation complete; no suspect identified
900ddd2f237cd3177d55d00dbf343bda305737ca89a0453a48692b40ad000af6,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.397300,53.140113,On or near SANDY LANE,E01018441,Cheshire East 031B,Investigation complete; no suspect identified
743bd0a5b01bfcc8e4311e40402578cd75d0b476d426ef0b8631cc08849c5d3a,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.554438,53.382940,On or near GASKELL AVENUE,E01012508,Warrington 020E,Unable to prosecute suspect
f1c5cfadab9876bf1e4bbec06a08465a2b4a4e906bd583d517bc1f046f90354a,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.914730,53.196887,On or near GREYHOUND PARK ROAD,E01018330,Cheshire West and Chester 034D,Investigation complete; no suspect identified
a6cff0570ab580035193d8e24715d10ef2deb180cf23383ae46495ecb056ec55,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.442196,53.099801,On or near GLADSTONE STREET,E01018464,Cheshire East 039B,Investigation complete; no suspect identified
2a09627a2b574004ccfa403e796e2a98a6f5eca88bcb90d7ba5cb317fe86b89b,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.597567,53.385968,On or near WILSON PATTEN STREET,E01033300,Warrington 018F,Investigation complete; no suspect identified
7460bd07df9d3596030061d9ca73d6cab54e925bd6387715a855cffc62a8e30c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.592065,53.389240,On or near HORROCKS LANE,E01033300,Warrington 018F,Investigation complete; no suspect identified
9773ecb4163fb92d20217d8894a0540b15a683fa0a71a02a4fc782f789a94b27,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.804659,53.338782,On or near CARLOW CLOSE,E01012401,Halton 008C,Investigation complete; no suspect identified
ab4d8b05e2b99808ab4c1c49fc1ef7308d44323a2eaf5c6d4a6b359044abc56c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.108352,53.293439,On or near FIELD CLOSE,E01018575,Cheshire East 013A,Investigation complete; no suspect identified
ca267d0959ded2386a7797066617931b213400d1ca9cb813a44f9ff333447a1c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.907819,53.288431,On or near SLACKSWOOD CLOSE,E01018563,Cheshire West and Chester 007D,Investigation complete; no suspect identified
840fb2a045132b6d82bbb38e9e437804a89f27a0252e4688ea253cc241378ab6,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.644507,53.404879,On or near MATLOCK CLOSE,E01012568,Warrington 009D,Investigation complete; no suspect identified
7f4571eac9aed95176757dd3e750c92bf292c08fd82172ccf131d29c9265b149,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.648525,53.392129,On or near Supermarket,E01012500,Warrington 015E,Investigation complete; no suspect identified
c28e3aef06e45e0f204de24d2969a6b99fd815040e5430db022a273dd6c5872c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.496504,53.477764,On or near Park/Open Space,E01012476,Warrington 001C,Investigation complete; no suspect identified
616bbed4e6607a6aa5dfac52395ea5dbf61cd5e95cbea0f553580c7c1be6f711,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.734619,53.384628,On or near CLARENCE AVENUE,E01012393,Halton 001B,Investigation complete; no suspect identified
316b4d1f400cc237edf88fb5c6fd86807ad6f256e33b1142d70e0ae0948208c7,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.693341,53.268415,On or near Sports/Recreation Area,E01018698,Cheshire West and Chester 015E,Investigation complete; no suspect identified
be25e693201c3697158ac54f1c4fef592c14598e1b81b5061863f8ae861cf974,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.128668,53.264619,On or near NEW HALL STREET,E01018615,Cheshire East 017A,Further investigation is not in the public interest
d1dc4067bb2f4f84e455b1f2a1863562919a27f558597565c2800d082d6e4489,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.896800,53.278708,On or near Supermarket,E01018520,Cheshire West and Chester 007B,Investigation complete; no suspect identified
b838fe7b40845b47651dbd873d8c1b217645e484d0ddb2b345b9de9e72aaedc6,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.897131,53.282373,On or near Pedestrian Subway,E01018563,Cheshire West and Chester 007D,Unable to prosecute suspect
c27a8a380267681c8f974e753ce4fbf1c5f71f4b9e984dffb430c5fae2d0b119,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.728539,53.372791,On or near PARK AVENUE,E01012369,Halton 005A,Investigation complete; no suspect identified
4960068f4dc61bde59ed3c15ab829842ec1593d7bb9f399b5ec9a5f33a7c5dd3,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.507506,53.150418,On or near OVER ROAD,E01018480,Cheshire East 049B,Investigation complete; no suspect identified
236d611cfc6482ba39ef1bb47a3e12d0a1a4deef6df2dab31a692278e6b9d6ba,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.884326,53.274585,On or near TELFORD ROAD,E01018552,Cheshire West and Chester 011D,Unable to prosecute suspect
10cfb29e65dd2fa95acb1074a87febe6c47a71e2243a2609c59294c8bbe8bc85,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.892476,53.192795,On or near LITTLE ABBEY GATEWAY,E01018326,Cheshire West and Chester 034A,Further investigation is not in the public interest
e51ec16923630ebc2879119411480a8c0fda5d1475ac3853069d5b739746c143,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.856405,53.193635,On or near Petrol Station,E01018381,Cheshire West and Chester 036C,Investigation complete; no suspect identified
5b76b1dd5be7d046e555e126262acacfa7b6473936988de2e0313a2910df74eb,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.440806,53.111303,On or near B5076,E01018476,Cheshire East 035B,Unable to prosecute suspect
2879011b6c14674cec7a62aa85fd6d284f595c5a376e1843ab73b36099c54a34,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.510897,53.426667,On or near Sports/Recreation Area,E01012460,Warrington 004A,Unable to prosecute suspect
a59c136b39d2c9bba3958592f8cce6cfb740637be2ce4acb5c6773c129db69c5,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.543184,53.184878,On or near BOWLAND RISE,E01018739,Cheshire West and Chester 040C,Unable to prosecute suspect
fd20dd831c1bbebf0059c727f9a605ef47d4044b3ca07932df7d838791019967,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.407409,53.050440,On or near CHILTERN CLOSE,E01018515,Cheshire East 049C,Unable to prosecute suspect
fd7845e9ac71243661669b673f9a6d20365e5c2b25734755252823d7c6dfd10f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.511065,53.234747,On or near FULTON GROVE,E01018683,Cheshire West and Chester 026D,Investigation complete; no suspect identified
fb3eb5139b4b973d5b3f2771efac8799b10fb782d98177eb9c34e1355f6fd2d3,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.571730,53.405645,On or near SEALAND CLOSE,E01012546,Warrington 008F,Investigation complete; no suspect identified
969dc0dbe362ff594363ca1e2b369dab8822ecab2bc8d0b2269c4ffe1d25801c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.628686,53.392828,On or near ROSEMARY CLOSE,E01012498,Warrington 016D,Investigation complete; no suspect identified
bd1c97da052ac36a9741308f8a8ea073ecbd526716dbba49e65a0b66ed5539b0,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.892175,53.277035,On or near GIRTON CLOSE,E01018552,Cheshire West and Chester 011D,Investigation complete; no suspect identified
95d6316ae250e08f2d9d539e29aa1137b6c4d91373bfb10800e0c83f1d277793,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.876944,53.214305,On or near PECKFORTON WAY,E01018378,Cheshire West and Chester 027C,Unable to prosecute suspect
bb8c7b2e61c938bf2a5c1e9d91f0af44a3367acadd11cab6518d97f435aa4125,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.719947,53.362434,On or near MULBERRY AVENUE,E01012441,Halton 007D,Suspect charged
ed0e19fa4b911c6dcf12b69c853ef5e749aaf48d9b10b65a684ed8491f6ca01f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.584572,53.398778,On or near MARSH HOUSE LANE,E01033303,Warrington 017G,Investigation complete; no suspect identified
025d37c1a6b2a9fde4cbd1d79ba2daad23ab2f522fee611db8ed54ef5171ad78,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.439411,53.088836,On or near LONGFORD STREET,E01018447,Cheshire East 045C,Unable to prosecute suspect
08c9a682686f14954b13c139c19a863f863cf8a9ad4192d62b319a7206134d8f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.557742,53.396534,On or near LARKFIELD AVENUE,E01012550,Warrington 012E,Investigation complete; no suspect identified
c9331c77aae8e98f655bf7130492e01cda9c4b5b6b7c57007f87b30e41e0d9fa,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.660084,53.429728,On or near FAIRCLOUGH STREET,E01012469,Warrington 003C,Investigation complete; no suspect identified
40417d9c87f363bf1c5d86203f8f9777cd43e764b8766750e45deda31fbbcfe4,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.729004,53.342837,On or near DOVER STREET,E01012430,Halton 012E,Offender given penalty notice
64e1807b27d245ff018a83262622e79ffc37cdbf2b13697a06cd1a9a08c3631f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.624464,53.399250,On or near CAVENDISH CLOSE,E01012570,Warrington 010F,Investigation complete; no suspect identified
aa606e654c9f4365d1a338c3f53dc16a4f40ccb18bb72d2b38276e4594104697,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.441708,53.113385,On or near STONELEY AVENUE,E01018479,Cheshire East 035E,Investigation complete; no suspect identified
1462c65b334f42d2eef56d0f1ee0ce403bca41491045ffc7e4bcdfcb014828a6,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.143738,53.260862,On or near FIELDBANK ROAD,E01018616,Cheshire East 017B,Investigation complete; no suspect identified
6f9e719e237be9bfaf400fc6e2c4739da9f7cbdd7d0ddc97748159339a8c2b4c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.737436,53.334444,On or near GREENWAY ROAD,E01012428,Halton 012C,Unable to prosecute suspect
002faec586d575ef46f04b1ec9d4f011c38f7c9887cf05c70d287fae09ca894b,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.385761,53.060194,On or near CHADWELL COURT,E01018465,Cheshire East 041A,Investigation complete; no suspect identified
